region;value;age
Santa Cruz de Tenerife;10917;19
Segovia;1484;19
Sevilla;20955;19
Soria;853;19
Tarragona;8227;19
Teruel;1265;19
Toledo;7318;19
Valencia/Valencia;25809;19
Valladolid;4501;19
Zamora;1340;19
Zaragoza;9177;19
Ceuta;1097;19
Melilla;1171;19
Albacete;4213;20
Alicante/Alacant;18088;20
Almeria;7782;20
Araba/Alava;2852;20
Asturias;7635;20
Avila;1460;20
Badajoz;7031;20
Balears Illes;11691;20
Barcelona;55719;20
Bizkaia;9827;20
Burgos;3110;20
Caceres;3817;20
Cadiz;13323;20
Cantabria;4901;20
Castellon/Castello;5673;20
CiudadReal;5175;20
Cordoba;8434;20
CoruaA;8867;20
Cuenca;2030;20
Gipuzkoa;6740;20
Girona;7838;20
Granada;10152;20
Guadalajara;2577;20
Huelva;5477;20
Huesca;2054;20
Jaen;7151;20
Leon;3632;20
Lleida;4383;20
Lugo;2375;20
Madrid;65009;20
Malaga;16716;20
Murcia;16527;20
Navarra;6870;20
Ourense;2169;20
Palencia;1336;20
PalmasLas;12236;20
Pontevedra;8200;20
Rioja La;2994;20
Salamanca;2905;20
Santa Cruz de Tenerife;10856;20
Segovia;1473;20
Sevilla;20263;20
Soria;835;20
Tarragona;7903;20
Teruel;1236;20
Toledo;7215;20
Valencia/Valencia;25174;20
Valladolid;4325;20
Zamora;1348;20
Zaragoza;9144;20
Ceuta;1089;20
Melilla;1152;20
Albacete;4229;21
Alicante/Alacant;18028;21
Almeria;7783;21
Araba/Alava;2775;21
Asturias;7605;21
Avila;1440;21
Badajoz;7087;21
Balears Illes;11906;21
Barcelona;55590;21
Bizkaia;9671;21
Burgos;3115;21
Caceres;3784;21
Cadiz;13118;21
Cantabria;4836;21
Castellon/Castello;5641;21
CiudadReal;5217;21
Cordoba;8443;21
CoruaA;8908;21
Cuenca;2012;21
Gipuzkoa;6685;21
Girona;7976;21
Granada;10091;21
Guadalajara;2496;21
Huelva;5443;21
Huesca;2025;21
Jaen;7077;21
Leon;3745;21
Lleida;4354;21
Lugo;2411;21
Madrid;65052;21
Malaga;16293;21
Murcia;16680;21
Navarra;6849;21
Ourense;2234;21
Palencia;1344;21
PalmasLas;12159;21
Pontevedra;7994;21
Rioja La;2990;21
Salamanca;2961;21
Santa Cruz de Tenerife;10734;21
Segovia;1504;21
Sevilla;20198;21
Soria;817;21
Tarragona;7889;21
Teruel;1285;21
Toledo;7200;21
Valencia/Valencia;24924;21
Valladolid;4364;21
Zamora;1392;21
Zaragoza;9125;21
Ceuta;1095;21
Melilla;1164;21
Albacete;4256;22
Alicante/Alacant;18198;22
Almeria;7894;22
Araba/Alava;2833;22
Asturias;7663;22
Avila;1445;22
Badajoz;7223;22
Balears Illes;12204;22
Barcelona;56178;22
Bizkaia;9702;22
Burgos;3135;22
Caceres;3787;22
Cadiz;12847;22
Cantabria;4882;22
Castellon/Castello;5544;22
CiudadReal;5305;22
Cordoba;8392;22
CoruaA;8858;22
Cuenca;2020;22
Gipuzkoa;6697;22
Girona;8039;22
Granada;10074;22
Guadalajara;2565;22
Huelva;5429;22
Huesca;2124;22
Jaen;7185;22
Leon;3782;22
Lleida;4350;22
Lugo;2369;22
Madrid;66093;22
Malaga;16222;22
Murcia;16665;22
Navarra;6788;22
Ourense;2302;22
Palencia;1427;22
PalmasLas;12325;22
Pontevedra;8021;22
Rioja La;2965;22
Salamanca;2921;22
Santa Cruz de Tenerife;11172;22
Segovia;1509;22
Sevilla;20199;22
Soria;813;22
Tarragona;7887;22
Teruel;1291;22
Toledo;7067;22
Valencia/Valencia;25040;22
Valladolid;4443;22
Zamora;1388;22
Zaragoza;9128;22
Ceuta;1101;22
Melilla;1162;22
Albacete;4293;23
Alicante/Alacant;18298;23
Almeria;7982;23
Araba/Alava;2774;23
Asturias;7713;23
Avila;1523;23
Badajoz;7271;23
Balears Illes;12628;23
Barcelona;56472;23
Bizkaia;9506;23
Burgos;3000;23
Caceres;3857;23
Cadiz;12692;23
Cantabria;4798;23
Castellon/Castello;5504;23
CiudadReal;5409;23
Cordoba;8386;23
CoruaA;8883;23
Cuenca;2016;23
Gipuzkoa;6559;23
Girona;7932;23
Granada;10059;23
Guadalajara;2563;23
Huelva;5490;23
Huesca;2133;23
Jaen;7343;23
Leon;3718;23
Lleida;4317;23
Lugo;2437;23
Madrid;66729;23
Malaga;16228;23
Murcia;16620;23
Navarra;6587;23
Ourense;2372;23
Palencia;1449;23
PalmasLas;12496;23
Pontevedra;8084;23
Rioja La;2851;23
Salamanca;2864;23
Santa Cruz de Tenerife;11537;23
Segovia;1498;23
Sevilla;19998;23
Soria;855;23
Tarragona;7856;23
Teruel;1262;23
Toledo;6954;23
Valencia/Valencia;24932;23
Valladolid;4381;23
Zamora;1402;23
Zaragoza;9069;23
Ceuta;1082;23
Melilla;1195;23
Albacete;4310;24
Alicante/Alacant;18293;24
Almeria;8060;24
Araba/Alava;2682;24
Asturias;7711;24
Avila;1526;24
Badajoz;7382;24
Balears Illes;13051;24
Barcelona;57720;24
Bizkaia;9424;24
Burgos;3007;24
Caceres;3897;24
Cadiz;12809;24
Cantabria;4751;24
Castellon/Castello;5518;24
